number,name,description,is_evolved,male_ratio,female_ratio,Picture
1,bulbasaur,Seed,False,87.5,12.5,001_bulbasaur.png
2,ivysaur,Seed,True,87.5,12.5,002_ivysaur.png
3,venusaur,Seed,True,87.5,12.5,003_venusaur.png
4,charmander,Lizard,False,87.5,12.5,004_charmander.png
5,charmeleon,Flame,True,87.5,12.5,005_charmeleon.png
6,charizard,Flame,True,87.5,12.5,006_charizard.png
7,squirtle,Tiny Turtle,False,87.5,12.5,007_squirtle.png
8,wartortle,Turtle,True,87.5,12.5,008_wartortle.png
9,blastoise,Shellfish,True,87.5,12.5,009_blastoise.png
10,caterpie,Worm,False,50,50,010_caterpie.png
11,metapod,Cocoon,True,50,50,011_metapod.png
12,butterfree,Butterfly,True,50,50,012_butterfree.png
13,weedle,Hairy,False,50,50,013_weedle.png
14,kakuna,Cocoon,True,50,50,014_kakuna.png
15,beedrill,Poison Bee,True,50,50,015_beedrill.png
16,pidgey,Tiny Bird,False,50,50,016_pidgey.png
17,pidgeotto,Bird,True,50,50,017_pidgeotto.png
18,pidgeot,Bird,True,50,50,018_pidgeot.png
19,rattata,Mouse,False,50,50,019_rattata.png
20,raticate,Mouse,True,50,50,020_raticate.png
21,spearow,Tiny Bird,False,50,50,021_spearow.png
22,fearow,Beak,True,50,50,022_fearow.png
23,ekans,Snake,False,50,50,023_ekans.png
24,arbok,Cobra,True,50,50,024_arbok.png
25,pikachu,Mouse,True,50,50,025_pikachu.png
26,raichu,Mouse,True,50,50,026_raichu.png
27,sandshrew,Mouse,False,50,50,027_sandshrew.png
28,sandslash,Mouse,True,50,50,028_sandslash.png
29,nidoran-f,Poison Pin,False,0,100,029_nidoranf.png
30,nidorina,Poison Pin,True,0,100,030_nidorina.png
31,nidoqueen,Drill,True,0,100,031_nidoqueen.png
32,nidoran-m,Poison Pin,False,100,0,032_nidoranm.png
33,nidorino,Poison Pin,True,100,0,033_nidorino.png
34,nidoking,Drill,True,100,0,034_nidoking.png
35,clefairy,Fairy,True,25,75,035_clefairy.png
36,clefable,Fairy,True,25,75,036_clefable.png
37,vulpix,Fox,False,25,75,037_vulpix.png
38,ninetales,Fox,True,25,75,038_ninetales
39,jigglypuff,Balloon,True,25,75,039_jigglypuff.png
40,wigglytuff,Balloon,True,25,75,040_wigglytuff.png
41,zubat,Bat,False,50,50,041_zubat.png
42,golbat,Bat,True,50,50,042_golbat.png
43,oddish,Weed,False,50,50,043_oddish.png
44,gloom,Weed,True,50,50,044_gloom.png
45,vileplume,Flower,True,50,50,045_vileplume.png
46,paras,Mushroom,False,50,50,046_paras.png
47,parasect,Mushroom,True,50,50,047_parasect.png
48,venonat,Insect,False,50,50,048_venonat.png
49,venomoth,Poison Moth,True,50,50,049_venomoth.png
50,diglett,Mole,False,50,50,050_diglett.png
51,dugtrio,Mole,True,50,50,051_dugtrio.png
52,meowth,Scratch Cat,False,50,50,052_meowth.png
53,persian,Classy Cat,True,50,50,053_persian.png
54,psyduck,Duck,False,50,50,054_psyduck.png
55,golduck,Duck,True,50,50,055_golduck.png
56,mankey,Pig Monkey,False,50,50,056_mankey.png
57,primeape,Pig Monkey,True,50,50,057_primeape.png
58,growlithe,Puppy,False,75,25,058_growlithe.png
59,arcanine,Legendary,True,75,25,059_arcanine.png
60,poliwag,Tadpole,False,50,50,060_poliwag.png
61,poliwhirl,Tadpole,True,50,50,061_poliwhirl.png
62,poliwrath,Tadpole,True,50,50,062_poliwrath.png
63,abra,Psi,False,75,25,063_abra.png
64,kadabra,Psi,True,75,25,064_kadabra.png
65,alakazam,Psi,True,75,25,065_alakazam.png
66,machop,Superpower,False,75,25,066_machop.png
67,machoke,Superpower,True,75,25,067_machoke.png
68,machamp,Superpower,True,75,25,068_machamp.png
69,bellsprout,Flower,False,50,50,069_bellsprout.png
70,weepinbell,Flycatcher,True,50,50,070_weepinbell.png
71,victreebel,Flycatcher,True,50,50,071_victreebel.png
72,tentacool,Jellyfish,False,50,50,072_tentacool.png
73,tentacruel,Jellyfish,True,50,50,073_tentacruel.png
74,geodude,Rock,False,50,50,074_geodude.png
75,graveler,Rock,True,50,50,075_graveler.png
76,golem,Megaton,True,50,50,076_golem.png
77,ponyta,Fire Horse,False,50,50,077_ponyta.png
78,rapidash,Fire Horse,True,50,50,078_rapidash.png
79,slowpoke,Dopey,False,50,50,079_slowpoke.png
80,slowbro,Hermit Crab,True,50,50,080_slowbro.png
81,magnemite,Magnet,False,0,0,081_magnemite.png
82,magneton,Magnet,True,0,0,082_magneton.png
83,farfetchd,Wild Duck,False,50,50,083_farfetchd.png
84,doduo,Twin Bird,False,50,50,084_doduo.png
85,dodrio,Triple Bird,True,50,50,085_dodrio.png
86,seel,Sea Lion,False,50,50,086_seel.png
87,dewgong,Sea Lion,True,50,50,087_dewgong.png
88,grimer,Sludge,False,50,50,088_grimer.png
89,muk,Sludge,True,50,50,089_muk.png
90,shellder,Bivalve,False,50,50,090_shellder.png
91,cloyster,Bivalve,True,50,50,091_cloyster.png
92,gastly,Gas,False,50,50,092_gastly.png
93,haunter,Gas,True,50,50,093_haunter.png
94,gengar,Shadow,True,50,50,094_gengar.png
95,onix,Rock Snake,False,50,50,095_onix.png
96,drowzee,Hypnosis,False,50,50,096_drowzee.png
97,hypno,Hypnosis,True,50,50,097_hypno.png
98,krabby,River Crab,False,50,50,098_krabby.png
99,kingler,Pincer,True,50,50,099_kingler.png
100,voltorb,Ball ,False,0,0,100_voltorb.png
101,electrode,Ball ,True,0,0,101_electrode.png
102,exeggcute,Egg,False,50,50,102_exeggcute.png
103,exeggutor,Coconut,True,50,50,103_exeggutor.png
104,cubone,Lonely,False,50,50,104_cubone.png
105,marowak,Bone Keeper,True,50,50,105_marowak.png
106,hitmonlee,Kicking,True,100,0,106_hitmonlee.png
107,hitmonchan,Punching,True,100,0,107_hitmonchan.png
108,lickitung,Licking,False,50,50,108_lickitung.png
109,koffing,Poison Gas,False,50,50,109_koffing.png
110,weezing,Poison Gas,True,50,50,110_weezing.png
111,rhyhorn,Spikes,False,50,50,111_rhyhorn.png
112,rhydon,Drill,True,50,50,112_rhydon.png
113,chansey,Egg,True,0,100,113_chansey.png
114,tangela,Vine,False,50,50,114_tangela.png
115,kangaskhan,Parent,False,0,100,115_kangaskhan.png
116,horsea,Dragon,False,50,50,116_horsea.png
117,seadra,Dragon,True,50,50,117_seadra.png
118,goldeen,Goldfish,False,50,50,118_goldeen.png
119,seaking,Goldfish,True,50,50,119_seaking.png
120,staryu,Starshape,False,0,0,120_staryu.png
121,starmie,Mysterious,True,0,0,121_starmie.png
122,mrmime,Barrier,True,50,50,122_mrmime.png
123,scyther,Mantis,False,50,50,123_scyther.png
124,jynx,Humanshape,True,0,100,124_jynx.png
125,electabuzz,Electric,True,75,25,125_electabuzz.png
126,magmar,Spitfire,True,75,25,126_magmar.png
127,pinsir,Stagbeetle,False,50,50,127_pinsir.png
128,tauros,Wild Bull,False,100,0,128_tauros.png
129,magikarp,Fish,False,50,50,129_magikarp.png
130,gyarados,Atrocious,True,50,50,130_gyarados.png
131,lapras,Transport,False,50,50,131_lapras.png
132,ditto,Transform,False,0,0,132_ditto.png
