number,name,description,is_evovled,male_ratio,female_ratio,Picture
1,bulbasaur,Seed,FALSE,87.5,12.5,001_bulbasaur.png
2,ivysaur,Seed,TRUE,87.5,12.5,002_ivysaur.png
3,venusaur,Seed,TRUE,87.5,12.5,003_venusaur.png
4,charmander,Lizard,FALSE,87.5,12.5,004_charmander.png
5,charmeleon,Flame,TRUE,87.5,12.5,005_charmeleon.png
6,charizard,Flame,TRUE,87.5,12.5,006_charizard.png
7,squirtle,Tiny Turtle,FALSE,87.5,12.5,007_squirtle.png
8,wartortle,Turtle,TRUE,87.5,12.5,008_wartortle.png
9,blastoise,Shellfish,TRUE,87.5,12.5,009_blastoise.png
10,caterpie,Worm,FALSE,50,50,010_caterpie.png
11,metapod,Cocoon,TRUE,50,50,011_metapod.png
12,butterfree,Butterfly,TRUE,50,50,012_butterfree.png
13,weedle,Hairy,FALSE,50,50,013_weedle.png
14,kakuna,Cocoon,TRUE,50,50,014_kakuna.png
15,beedrill,Poison Bee,TRUE,50,50,015_beedrill.png
16,pidgey,Tiny Bird,FALSE,50,50,016_pidgey.png
17,pidgeotto,Bird,TRUE,50,50,017_pidgeotto.png
18,pidgeot,Bird,TRUE,50,50,018_pidgeot.png
19,rattata,Mouse,FALSE,50,50,019_rattata.png
20,raticate,Mouse,TRUE,50,50,020_raticate.png
21,spearow,Tiny Bird,FALSE,50,50,021_spearow.png
22,fearow,Beak,TRUE,50,50,022_fearow.png
23,ekans,Snake,FALSE,50,50,023_ekans.png
24,arbok,Cobra,TRUE,50,50,024_arbok.png
25,pikachu,Mouse,TRUE,50,50,025_pikachu.png
26,raichu,Mouse,TRUE,50,50,026_raichu.png
27,sandshrew,Mouse,FALSE,50,50,027_sandshrew.png
28,sandslash,Mouse,TRUE,50,50,028_sandslash.png
29,nidoran-f,Poison Pin,FALSE,0,100,029_nidoranf.png
30,nidorina,Poison Pin,TRUE,0,100,030_nidorina.png
31,nidoqueen,Drill,TRUE,0,100,031_nidoqueen.png
32,nidoran-m,Poison Pin,FALSE,100,0,032_nidoranm.png
33,nidorino,Poison Pin,TRUE,100,0,033_nidorino.png
34,nidoking,Drill,TRUE,100,0,034_nidoking.png
35,clefairy,Fairy,TRUE,25,75,035_clefairy.png
36,clefable,Fairy,TRUE,25,75,036_clefable.png
37,vulpix,Fox,FALSE,25,75,037_vulpix.png
38,ninetales,Fox,TRUE,25,75,038_ninetales
39,jigglypuff,Balloon,TRUE,25,75,039_jigglypuff.png
40,wigglytuff,Balloon,TRUE,25,75,040_wigglytuff.png
41,zubat,Bat,FALSE,50,50,041_zubat.png
42,golbat,Bat,TRUE,50,50,042_golbat.png
43,oddish,Weed,FALSE,50,50,043_oddish.png
44,gloom,Weed,TRUE,50,50,044_gloom.png
45,vileplume,Flower,TRUE,50,50,045_vileplume.png
46,paras,Mushroom,FALSE,50,50,046_paras.png
47,parasect,Mushroom,TRUE,50,50,047_parasect.png
48,venonat,Insect,FALSE,50,50,048_venonat.png
49,venomoth,Poison Moth,TRUE,50,50,049_venomoth.png
50,diglett,Mole,FALSE,50,50,050_diglett.png
51,dugtrio,Mole,TRUE,50,50,051_dugtrio.png
52,meowth,Scratch Cat,FALSE,50,50,052_meowth.png
53,persian,Classy Cat,TRUE,50,50,053_persian.png
54,psyduck,Duck,FALSE,50,50,054_psyduck.png
55,golduck,Duck,TRUE,50,50,055_golduck.png
56,mankey,Pig Monkey,FALSE,50,50,056_mankey.png
57,primeape,Pig Monkey,TRUE,50,50,057_primeape.png
58,growlithe,Puppy,FALSE,75,25,058_growlithe.png
59,arcanine,Legendary,TRUE,75,25,059_arcanine.png
60,poliwag,Tadpole,FALSE,50,50,060_poliwag.png
61,poliwhirl,Tadpole,TRUE,50,50,061_poliwhirl.png
62,poliwrath,Tadpole,TRUE,50,50,062_poliwrath.png
63,abra,Psi,FALSE,75,25,063_abra.png
64,kadabra,Psi,TRUE,75,25,064_kadabra.png
65,alakazam,Psi,TRUE,75,25,065_alakazam.png
66,machop,Superpower,FALSE,75,25,066_machop.png
67,machoke,Superpower,TRUE,75,25,067_machoke.png
68,machamp,Superpower,TRUE,75,25,068_machamp.png
69,bellsprout,Flower,FALSE,50,50,069_bellsprout.png
70,weepinbell,Flycatcher,TRUE,50,50,070_weepinbell.png
71,victreebel,Flycatcher,TRUE,50,50,071_victreebel.png
72,tentacool,Jellyfish,FALSE,50,50,072_tentacool.png
73,tentacruel,Jellyfish,TRUE,50,50,073_tentacruel.png
74,geodude,Rock,FALSE,50,50,074_geodude.png
75,graveler,Rock,TRUE,50,50,075_graveler.png
76,golem,Megaton,TRUE,50,50,076_golem.png
77,ponyta,Fire Horse,FALSE,50,50,077_ponyta.png
78,rapidash,Fire Horse,TRUE,50,50,078_rapidash.png
79,slowpoke,Dopey,FALSE,50,50,079_slowpoke.png
80,slowbro,Hermit Crab,TRUE,50,50,080_slowbro.png
81,magnemite,Magnet,FALSE,0,0,081_magnemite.png
82,magneton,Magnet,TRUE,0,0,082_magneton.png
83,farfetchd,Wild Duck,FALSE,50,50,083_farfetchd.png
84,doduo,Twin Bird,FALSE,50,50,084_doduo.png
85,dodrio,Triple Bird,TRUE,50,50,085_dodrio.png
86,seel,Sea Lion,FALSE,50,50,086_seel.png
87,dewgong,Sea Lion,TRUE,50,50,087_dewgong.png
88,grimer,Sludge,FALSE,50,50,088_grimer.png
89,muk,Sludge,TRUE,50,50,089_muk.png
90,shellder,Bivalve,FALSE,50,50,090_shellder.png
91,cloyster,Bivalve,TRUE,50,50,091_cloyster.png
92,gastly,Gas,FALSE,50,50,092_gastly.png
93,haunter,Gas,TRUE,50,50,093_haunter.png
94,gengar,Shadow,TRUE,50,50,094_gengar.png
95,onix,Rock Snake,FALSE,50,50,095_onix.png
96,drowzee,Hypnosis,FALSE,50,50,096_drowzee.png
97,hypno,Hypnosis,TRUE,50,50,097_hypno.png
98,krabby,River Crab,FALSE,50,50,098_krabby.png
99,kingler,Pincer,TRUE,50,50,099_kingler.png
100,voltorb,Ball ,FALSE,0,0,100_voltorb.png
101,electrode,Ball ,TRUE,0,0,101_electrode.png
102,exeggcute,Egg,FALSE,50,50,102_exeggcute.png
103,exeggutor,Coconut,TRUE,50,50,103_exeggutor.png
104,cubone,Lonely,FALSE,50,50,104_cubone.png
105,marowak,Bone Keeper,TRUE,50,50,105_marowak.png
106,hitmonlee,Kicking,TRUE,100,0,106_hitmonlee.png
107,hitmonchan,Punching,TRUE,100,0,107_hitmonchan.png
108,lickitung,Licking,FALSE,50,50,108_lickitung.png
109,koffing,Poison Gas,FALSE,50,50,109_koffing.png
110,weezing,Poison Gas,TRUE,50,50,110_weezing.png
111,rhyhorn,Spikes,FALSE,50,50,111_rhyhorn.png
112,rhydon,Drill,TRUE,50,50,112_rhydon.png
113,chansey,Egg,TRUE,0,100,113_chansey.png
114,tangela,Vine,FALSE,50,50,114_tangela.png
115,kangaskhan,Parent,FALSE,0,100,115_kangaskhan.png
116,horsea,Dragon,FALSE,50,50,116_horsea.png
117,seadra,Dragon,TRUE,50,50,117_seadra.png
118,goldeen,Goldfish,FALSE,50,50,118_goldeen.png
